county_name,Total,Hispanic or Latino,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Foreign Born
"Victoria County, Texas",91319,42931,48388,39330,5230,214,1391,35,232,4745
"Walker County, Texas",76400,16578,59822,39823,16382,251,1126,39,318,3320
"Waller County, Texas",56794,18486,38308,23494,12104,210,785,10,314,6211
"Ward County, Texas",11644,6325,5319,4506,415,41,69,2,22,744
"Washington County, Texas",35805,6425,29380,22023,5555,75,547,14,140,1727
"Webb County, Texas",267114,254354,12760,9495,788,135,1300,25,458,68509
"Wharton County, Texas",41570,16967,24603,18130,5469,69,164,0,104,3767
"Wheeler County, Texas",4990,1227,3763,3469,81,33,24,2,12,360
"Wichita County, Texas",129350,25803,103547,79694,13379,992,2647,140,476,3720
"Wilbarger County, Texas",12887,3734,9153,7012,1013,96,566,0,32,424
"Willacy County, Texas",20164,17611,2553,1805,445,47,160,2,34,2705
"Williamson County, Texas",609017,147088,461929,336410,38557,1659,53982,592,3124,30181
"Wilson County, Texas",49753,19232,30521,27877,693,148,229,24,187,1626
"Winkler County, Texas",7791,4732,3059,2702,139,38,77,0,9,1202
"Wise County, Texas",68632,13694,54938,50495,657,474,372,12,172,4401
"Wood County, Texas",44843,4894,39949,35906,1658,227,230,1,138,1318
"Yoakum County, Texas",7694,4968,2726,2488,55,22,46,0,15,1358
"Young County, Texas",17867,3508,14359,13409,174,79,86,0,38,984
"Zapata County, Texas",13889,12999,890,796,9,7,16,0,16,3267
"Zavala County, Texas",9670,8944,726,572,67,21,19,1,3,645
